Steps,Policy/Entropy,Environment/Lesson,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
32000,2.5220983,0.0,16.489617486338798,-6.7831883,-0.9785438018330073,-0.9785438018330073,42.169144,0.020793812,0.0002998771,1.0
64000,2.5057778,0.0,16.394350896252035,-3.5590425,-0.9876516112680347,-0.9876516112680347,10.731457,0.018583085,0.0002996927,1.0
96000,2.4862862,0.0,16.268358531317496,-2.4185176,-0.9879793813753849,-0.9879793813753849,3.501376,0.0149062015,0.0002995082,1.0
128000,2.4422336,0.0,17.03889515219842,-1.8569288,-0.9807227811993445,-0.9807227811993445,1.6083708,0.015840024,0.00029932384,1.0
160000,2.4105396,0.0,17.146341463414632,-1.3215115,-0.9868292774724068,-0.9868292774724068,0.59861743,0.014446049,0.00029913938,1.0
192000,2.3640797,0.0,16.362995116657622,-1.0956383,-0.9985351169070535,-0.9985351169070535,0.22795054,0.016915267,0.00029895495,1.0
224000,2.32408,0.0,16.385659967409016,-0.9455031,-0.9949763262161802,-0.9949763262161802,0.0971223,0.020727502,0.00029877046,1.0
256000,2.2971482,0.0,17.253850541928124,-0.91298693,-0.9907621298595217,-0.9907621298595217,0.07564993,0.017828897,0.00029858606,1.0
288000,2.2870152,0.0,18.53386211104332,-0.89708513,-0.9666573569278589,-0.9666573569278589,0.054799624,0.019111648,0.00029834016,1.0
320000,2.2668965,0.0,22.453479853479852,-0.87593114,-0.9116977294504424,-0.9116977294504424,0.05326336,0.020056304,0.0002981558,1.0
352000,2.227632,0.0,27.241166077738516,-0.81367475,-0.8344151842746844,-0.8344151842746844,0.058465578,0.017240178,0.0002979713,1.0
384000,2.2043672,0.0,33.159018143009604,-0.7531975,-0.742393148241996,-0.742393148241996,0.056775473,0.018156726,0.0002977868,1.0
416000,2.19548,0.0,37.44831730769231,-0.68931794,-0.6843812467635465,-0.6843812467635465,0.062348817,0.018471176,0.00029760238,1.0
448000,2.1094313,0.0,50.2900641025641,-0.54409873,-0.490862452198202,-0.490862452198202,0.06478074,0.021539135,0.0002974179,1.0
